val_loss,val_acc,epoch,step,train_acc
0.8688187599182129,0.53125,0,0,
,,0,0,0.4375
0.8068379759788513,0.5625,1,1,
,,1,1,0.78125
0.7938004732131958,0.53125,2,2,
,,2,2,0.84375
0.8090452551841736,0.53125,3,3,
,,3,3,0.875
0.7905817627906799,0.53125,4,4,
,,4,4,0.84375
0.8673321008682251,0.5,5,5,
,,5,5,0.875
0.8269433379173279,0.59375,6,6,
,,6,6,0.78125
1.094434142112732,0.46875,7,7,
,,7,7,0.65625
0.8694834113121033,0.5625,8,8,
,,8,8,0.71875
0.9872366786003113,0.5,9,9,
,,9,9,0.78125
