train_loss,epoch,step,val_loss,val_acc,train_acc,test_acc
0.6978310346603394,0,49,,,,
0.49232572317123413,0,99,,,,
0.45489561557769775,0,149,,,,
0.5650738477706909,0,199,,,,
0.6186187863349915,0,249,,,,
0.5263509750366211,0,299,,,,
0.48968708515167236,0,349,,,,
0.5625843405723572,0,399,,,,
0.48823028802871704,0,449,,,,
,0,449,0.5095576643943787,0.7562500238418579,,
,0,449,,,0.7222916483879089,
0.45925256609916687,1,499,,,,
0.5528333187103271,1,549,,,,
0.38075971603393555,1,599,,,,
0.313370943069458,1,649,,,,
0.3224734961986542,1,699,,,,
0.5458614230155945,1,749,,,,
0.4647497534751892,1,799,,,,
0.5250523686408997,1,849,,,,
0.5753832459449768,1,899,,,,
,1,899,0.4846498370170593,0.7825000286102295,,
,1,899,,,0.7759027481079102,
0.4585346579551697,2,949,,,,
0.30943983793258667,2,999,,,,
0.4897819459438324,2,1049,,,,
0.5796114206314087,2,1099,,,,
0.38990917801856995,2,1149,,,,
0.6085439920425415,2,1199,,,,
0.402669757604599,2,1249,,,,
0.2948545813560486,2,1299,,,,
0.4678501486778259,2,1349,,,,
,2,1349,0.42617616057395935,0.8149999976158142,,
,2,1349,,,0.8056250214576721,
0.37012359499931335,3,1399,,,,
0.3531070053577423,3,1449,,,,
0.3841872811317444,3,1499,,,,
0.2973572313785553,3,1549,,,,
0.6689966917037964,3,1599,,,,
0.23554398119449615,3,1649,,,,
0.31173354387283325,3,1699,,,,
0.3958177864551544,3,1749,,,,
0.3194170296192169,3,1799,,,,
,3,1799,0.43168821930885315,0.8162500262260437,,
,3,1799,,,0.8234027624130249,
0.44390401244163513,4,1849,,,,
0.21594548225402832,4,1899,,,,
0.4855201244354248,4,1949,,,,
0.2207600176334381,4,1999,,,,
0.25626808404922485,4,2049,,,,
0.5339292883872986,4,2099,,,,
0.41979900002479553,4,2149,,,,
0.33986368775367737,4,2199,,,,
0.3883368670940399,4,2249,,,,
,4,2249,0.40219080448150635,0.8187500238418579,,
,4,2249,,,0.8347916603088379,
0.22446225583553314,5,2299,,,,
0.42748016119003296,5,2349,,,,
0.314180850982666,5,2399,,,,
0.631722629070282,5,2449,,,,
0.3727801740169525,5,2499,,,,
0.6649643182754517,5,2549,,,,
0.3008230924606323,5,2599,,,,
0.40883752703666687,5,2649,,,,
0.3218114674091339,5,2699,,,,
,5,2699,0.3929695188999176,0.8399999737739563,,
,5,2699,,,0.8485416769981384,
0.35440120100975037,6,2749,,,,
0.3090343475341797,6,2799,,,,
0.2606167793273926,6,2849,,,,
0.27462902665138245,6,2899,,,,
0.302266001701355,6,2949,,,,
0.3451489210128784,6,2999,,,,
0.4040912091732025,6,3049,,,,
0.41665008664131165,6,3099,,,,
0.3205268383026123,6,3149,,,,
,6,3149,0.3839931786060333,0.8462499976158142,,
,6,3149,,,0.8686805367469788,
0.24465712904930115,7,3199,,,,
0.24119871854782104,7,3249,,,,
0.3741203248500824,7,3299,,,,
0.2203463315963745,7,3349,,,,
0.22709783911705017,7,3399,,,,
0.2062065154314041,7,3449,,,,
0.2244124561548233,7,3499,,,,
0.22439314424991608,7,3549,,,,
0.35541656613349915,7,3599,,,,
,7,3599,0.37011006474494934,0.8512499928474426,,
,7,3599,,,0.882777750492096,
0.41885432600975037,8,3649,,,,
0.4878842234611511,8,3699,,,,
0.34101754426956177,8,3749,,,,
0.19725561141967773,8,3799,,,,
0.24513515830039978,8,3849,,,,
0.524085283279419,8,3899,,,,
0.44942501187324524,8,3949,,,,
0.22510260343551636,8,3999,,,,
0.21210874617099762,8,4049,,,,
,8,4049,0.3472333550453186,0.8643749952316284,,
,8,4049,,,0.8952083587646484,
0.41550663113594055,9,4099,,,,
0.38791289925575256,9,4149,,,,
0.4792737662792206,9,4199,,,,
0.2285364419221878,9,4249,,,,
0.12681464850902557,9,4299,,,,
0.1985740065574646,9,4349,,,,
0.3178280293941498,9,4399,,,,
0.2636181712150574,9,4449,,,,
0.4509407877922058,9,4499,,,,
,9,4499,0.3437560200691223,0.8650000095367432,,
,9,4499,,,0.9036805629730225,
,10,4500,,,,0.8525000214576721
